SUB,SCAN,ALT_RATE,ALT_VAR,FREQ1,FREQ2,FREQ3
S11,scan4,1.3030532442956,1.34521809763297,38,38,71
S11,scan5,1.32148287982549,1.25503263818051,37,44,78
S11,scan6,1.31229564627598,1.39668704189936,39,38,69
S11,scan7,2.23446271445374,2.47192904863014,28,28,35
S11,scan8,1.39312462858019,1.45667917203695,39,39,71
S11,scan9,1.40584065630866,1.69401058241107,37,38,69
S11,scan10,1.58181657976987,1.78858115592099,38,37,54
S11,scan11,1.60925658930194,1.61477409424083,34,33,65
S11,scan12,1.41279637737007,1.75415001706457,38,38,68
S11,scan13,1.41807973286864,1.60516133818031,38,37,68
S12,scan1,0.76651397787234,0.838179822797254,66,68,131
S12,scan2,1.97173276297999,2.22649872895936,27,27,49
S12,scan3,0.836867162353498,0.772584647571779,67,59,122
S12,scan4,0.910628776753682,1.05004204299437,66,50,111
S12,scan5,1.11588846877196,1.26981228008577,51,43,92
S12,scan6,1.30540473719426,1.68422892852191,41,41,76
S12,scan7,1.0399810590452,1.30355769921743,50,51,96
S12,scan8,1.37765750520886,1.72962943835988,39,40,71
S12,scan9,1.60379172194908,1.75131177116839,37,32,58
S12,scan10,1.56710286425294,1.9616548407594,32,35,55
S12,scan11,1.53974770363228,1.78303250768607,40,35,59
S12,scan12,1.51516567187116,2.06858164410157,35,35,57
S12,scan13,1.57070385703518,2.06831077468651,33,32,56
S12,scan14,1.80916420967875,1.97336545094472,32,33,47
S12,scan15,1.47188028682738,1.94841196660096,35,36,56
S12,scan16,1.50428176100547,1.91127890595371,33,34,59
S12,scan17,2.04680926943609,2.51897609520991,30,23,40
S13,scan1,1.41733318477449,1.44479678400129,42,42,62
S13,scan2,1.4957077412539,1.42299849816893,29,29,37
S13,scan3,1.29845797624526,1.42637904474836,46,44,67
S13,scan4,1.68372270336327,1.43792787777446,45,46,28
S13,scan5,1.73422949127552,1.5045074768326,39,39,42
S13,scan6,2.29302054081311,1.34803953027022,41,39,10
S13,scan7,1.97426617628771,1.47502564583378,39,38,28
S13,scan8,1.53968750395628,1.49657619352137,41,40,50
S13,scan9,1.71353332346735,1.49329846239536,40,41,38
S13,scan10,1.64949443450367,1.292253536078,43,42,37
S14,scan1,1.55782765420638,1.38037688518516,35,33,63
S14,scan2,1.39560141003836,1.20623796819165,40,36,71
S14,scan3,1.50469632934415,1.43063220300361,34,34,63
S14,scan4,1.44625983690195,1.31950409256148,37,36,69
S14,scan5,1.50678268788573,1.45828619408628,35,33,63
S14,scan6,1.65516668528504,1.42138263950669,32,31,59
S14,scan7,1.46181724428449,1.41044355296846,36,34,65
S14,scan8,1.4412056843675,1.22496109394344,38,36,69
S14,scan9,1.5635950406874,1.65912385039438,36,33,57
S14,scan10,1.52701984695389,1.47247652043786,34,33,62
S14,scan11,1.524082660713,1.4678199186971,34,33,62
S14,scan12,1.67547084425139,1.71436648080079,33,34,51
S15,scan1,1.21808715946921,1.23060386776045,41,44,81
S15,scan2,1.43036214428502,1.48047618382978,33,39,69
S15,scan3,1.45345064805722,1.79965048985256,34,36,65
S15,scan4,1.42441710741219,1.56817147499623,36,39,71
S15,scan5,1.38331955149094,1.80666211865626,36,38,68
S15,scan6,1.47991306115616,1.47586655828955,33,38,67
S15,scan7,1.52640099204298,1.93430083036528,34,36,63
S15,scan8,1.48788117224034,1.46848363674744,31,39,66
S15,scan9,1.50950728263837,1.93370160671348,33,36,62
S15,scan10,1.49526168498761,1.87305747072992,36,35,61
S15,scan11,1.48331765105621,1.87776088269872,36,36,61
S15,scan12,1.43532283059833,1.88659967041745,36,36,66
S16,scan1,1.46442802947561,1.4361866402938,35,35,65
S16,scan2,1.93580009565407,2.12028031523525,23,33,52
S16,scan3,2.19849232748598,2.75434084646683,24,25,43
S16,scan4,1.75995936319805,1.96242202527351,27,33,56
S16,scan5,2.18322143279002,2.70889356813258,24,25,44
S16,scan6,1.67001550788078,1.78536372277774,29,36,61
S16,scan7,2.1921083593701,2.70340186401603,25,24,43
S16,scan8,1.82619606430173,1.93125112359416,29,30,57
S16,scan9,2.21589056384879,2.72094330165774,24,24,43
S16,scan10,2.00880709468732,2.32666299254908,23,30,49
S16,scan11,2.57879010215441,3.01356741600167,24,25,30
S17,scan1,1.71062808882756,1.60959095119458,27,36,59
S17,scan2,2.10784481648541,2.48515320174988,25,26,45
S17,scan3,1.94765359185888,1.84349937003073,27,28,52
S17,scan4,1.99446664397088,2.49101307418289,27,27,48
S17,scan5,1.64670458882884,1.613052437914,29,38,62
S17,scan6,2.0758199745693,2.50282587812506,25,26,46
S17,scan7,1.74234731342533,1.71749080679097,27,35,57
S17,scan8,1.97966906699501,2.37196123807049,28,25,48
S17,scan9,1.82206172470626,1.87759942133396,28,32,55
S17,scan10,1.94269516996662,2.39800251088801,29,26,51
S17,scan11,1.96492394435949,2.46879095992894,29,26,47
S17,scan12,1.77152896078371,1.98136363495561,30,31,56
S17,scan13,1.95952626505448,2.41309258594752,28,26,50
S17,scan14,2.00717149952386,2.458811819318,28,25,47
S18,scan1,1.30159698337532,1.27377585010226,41,39,78
S18,scan2,2.58288166257026,2.6320167261552,21,20,35
S18,scan3,1.62359135121326,1.71908667773529,35,31,61
S18,scan4,1.65736082161333,1.89397355497952,32,29,53
S18,scan5,1.51598578182334,1.52896230631259,36,32,63
S18,scan6,1.71319633667194,1.90484685923708,30,28,52
S18,scan7,1.9216865030962,2.02551091494185,30,27,50
S18,scan8,1.77453161083377,1.99030697457545,31,31,45
S18,scan9,1.64864663940871,1.82865971172269,30,30,54
S18,scan10,2.01749816492037,2.16850086973503,28,27,46
S18,scan11,1.70907350621644,1.89206385877776,30,28,52
S18,scan12,1.86067461807943,1.97414113787793,31,31,40
S19,scan1,0.977853124744802,0.5231180169714,57,50,103
S19,scan2,1.88315656223505,1.88032899533564,27,27,50
S19,scan3,0.857172612909735,0.404051235218063,64,58,119
S19,scan4,1.80486544588048,1.88051097865536,28,25,49
S19,scan5,0.920572998167997,0.412578773709151,61,53,111
S19,scan6,1.90318128494867,1.994548798704,26,26,48
S19,scan7,0.901818858728333,0.451346667159068,58,58,114
S19,scan8,1.98634292133229,2.14678404904383,29,28,42
S19,scan9,0.872218714705496,0.456575136106005,60,59,116
S19,scan10,1.84287685520171,1.89663136890107,28,26,49
S19,scan11,1.89303844172619,2.41352339058913,26,26,43
S19,scan12,1.88231933399821,1.94614561198363,27,26,48
S20,scan1,1.58476122523952,1.31502137798161,30,37,63
S20,scan2,2.36640625069684,2.36372687348663,22,25,41
S20,scan3,2.63048552659227,2.55165436479896,20,20,35
S20,scan4,1.99527171470116,1.57773914685001,24,30,51
S20,scan5,2.57176007084078,2.55961684473886,21,20,36
S20,scan6,2.30445786693394,2.05774246086478,21,26,43
S20,scan7,2.08606227026921,2.08601895390019,25,25,46
S20,scan8,2.37955773010253,1.98179576866214,20,25,40
S20,scan9,2.48719605122696,2.70709333869861,21,21,37
S20,scan10,2.33790882114037,2.81488521837042,22,22,38
S20,scan11,2.40130253803389,2.75754077094761,22,21,39
S20,scan12,2.30516363077377,2.83648894510715,22,22,39
