subject,scan,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
S01,scan11,4,129,0.011241617938914728,0.009792629449827957,0.0072477199,0.01027334500952381,0.006829889268720001,0,0.033134994,0.033134994,0.6836991196554051,-1.098914361295431,8.621929474412019e-4
S01,scan11,5,129,0.002409477638139535,0.001194206082862473,0.0021397485,0.0023372207495238094,7.393770678e-4,0,0.0054354405,0.0054354405,0.6273942578940146,0.029224987648472478,1.0514398279958373e-4
S01,scan11,6,129,0.0025689041566666665,0.0011681508589302747,0.0027308253,0.0026027270613333334,0.0013244135482199998,0,0.0048275142,0.0048275142,-0.3047123094670905,-0.892460491668285,1.0284994824702164e-4
S01,scan12,1,129,0.059961714970620264,0.06837838165713621,0.03428431,0.04721399289809524,0.0375301894716,1.4210855e-14,0.35733598,0.3573359799999858,1.8812412054658332,3.486277823777514,0.006020380810310499
S01,scan12,2,129,0.3558582507860465,0.13655039758945303,0.35504575,0.36251515523809524,0.10430772995999998,0,0.67062714,0.67062714,-0.3785570866464498,0.1398483591344939,0.01202259213167582
S01,scan12,3,129,1.061754562883721,0.33476512314373946,1.1686658,1.1102083116190475,0.1946990350200002,1.7763568e-15,1.7506087,1.7506086999999981,-1.3740756377725558,1.8145135361325506,0.02947442560781145
S01,scan12,4,129,0.028497517821550387,0.009944159773909311,0.030408291,0.029549590552380954,0.004443367026000002,0,0.048717995,0.048717995,-1.110821606203862,1.4138412218249083,8.755344485585263e-4
S01,scan12,5,129,0.003638161066263566,0.00207470247543814,0.0035606955,0.0036781613505714288,0.0031117968193200003,0,0.007063855,0.007063855,-0.16158797487662857,-1.3212932438270788,1.8266736748555259e-4
S01,scan12,6,129,0.003096474300395349,0.0012138924719511553,0.0032105543,0.0031331135847619046,9.185670689999997e-4,4.8148249e-35,0.0063823992,0.0063823992,-0.2509994871090181,0.3422069993370207,1.0687727271112465e-4
S01,scan13,1,129,0.060386574811441864,0.04507386301375852,0.077299922,0.06026348521238095,0.05847040518480001,0,0.14095044,0.14095044,-0.07008180500136266,-1.7308881756572978,0.00396853235420607
S01,scan13,2,129,0.10321238328829457,0.06641381556830463,0.098895159,0.10024810137142857,0.07864525681739999,0,0.27896499,0.27896499,0.33942552920211194,-0.8187216322790909,0.005847410410965663
