Sub,Scan,Inv,Percept,Cond,F
S01,3,11,domin,RplSM,8001.04582805608
S01,3,12,domin,RplSM,7526.76039025593
S01,3,13,domin,RplSM,10276.0823304201
S01,3,14,domin,RplSM,10196.7196534774
S01,3,15,domin,RplSM,57776.5411828113
S01,3,16,domin,RplSM,53987.5904246302
S01,3,17,domin,RplSM,63510.9681325146
S01,3,18,domin,RplSM,62413.0520202442
S01,4,1,domin,RplSM,47943.297287498
S01,4,2,domin,RplSM,66492.0391856605
S01,4,3,domin,RplSM,47977.9445068784
S01,4,4,domin,RplSM,48083.0128697159
S01,4,5,domin,RplSM,66358.3062201941
S01,4,6,domin,RplSM,48186.5799441669
S01,4,7,domin,RplSM,7626.76745552578
S01,4,8,domin,RplSM,7651.94871720981
S01,4,9,domin,RplSM,18744.2018704168
S01,4,10,domin,RplSM,18706.2966811508
S01,4,11,domin,RplSM,7424.19808625486
S01,4,12,domin,RplSM,6978.24551068962
S01,4,13,domin,RplSM,9115.60193390378
S01,4,14,domin,RplSM,9055.2138674759
S01,4,15,domin,RplSM,64380.2770508262
S01,4,16,domin,RplSM,64408.8671085114
S01,4,17,domin,RplSM,68574.3271353518
S01,4,18,domin,RplSM,68221.3037828318
S01,5,1,domin,RplSM,57480.3386996299
S01,5,2,domin,RplSM,76623.7521482974
S01,5,3,domin,RplSM,57471.8182198942
S01,5,4,domin,RplSM,57672.8591708226
S01,5,5,domin,RplSM,76562.4832933552
S01,5,6,domin,RplSM,57735.8977852781
S01,5,7,domin,RplSM,10639.1936389422
S01,5,8,domin,RplSM,10648.632618275
S01,5,9,domin,RplSM,22656.3173674769
S01,5,10,domin,RplSM,22597.4800730127
S01,5,11,domin,RplSM,9095.11431912947
S01,5,12,domin,RplSM,8870.03505572053
S01,5,13,domin,RplSM,11020.3725618178
S01,5,14,domin,RplSM,10984.0413601142
S01,5,15,domin,RplSM,67381.5972365692
S01,5,16,domin,RplSM,67413.510730276
S01,5,17,domin,RplSM,60712.4821544735
S01,5,18,domin,RplSM,57541.2573551408
S01,1,1,u,RplSM,62142.4795442451
S01,1,2,u,RplSM,78344.9462141537
S01,1,3,u,RplSM,57118.3618838819
S01,1,4,u,RplSM,57192.655488167
S01,1,5,u,RplSM,72439.5331646964
S01,1,6,u,RplSM,62125.2167801826
S01,1,7,u,RplSM,17142.0783985028
S01,1,8,u,RplSM,15548.3458498486
S01,1,9,u,RplSM,41264.1312282799
S01,1,10,u,RplSM,34507.2946553405
S01,1,11,u,RplSM,24406.2867100804
S01,1,12,u,RplSM,21841.8730785407
S01,1,13,u,RplSM,22942.1355689071
S01,1,14,u,RplSM,22394.2740995117
S01,1,15,u,RplSM,68763.431242298
S01,1,16,u,RplSM,63359.8744415534
S01,1,17,u,RplSM,74537.2278047263
S01,1,18,u,RplSM,72269.3560468721
S01,2,1,u,RplSM,67418.6776804183
S01,2,2,u,RplSM,83718.6366786306
S01,2,3,u,RplSM,59716.8660206152
S01,2,4,u,RplSM,59811.617852541
S01,2,5,u,RplSM,75014.8225817789
